2023-04-17 23-32-24 top info:
Tasks: 750 total,   4 running, 744 sleeping,   0 stopped,   2 zombie
  Mem:  7703324K total,  7035380K used,   667944K free,   5562368 buffers
 Swap:  4194304K total,         0 used,  4194304K free,  2652972K cached
800%cpu 157%user   3%nice 267%sys 373%idle   0%iow   0%irq   0%sirq   0%host
   PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
  1154 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx9_worker]
  1153 root         20   0    0    0    0 S  0.0   0.0   0:00.52 [gps_kctrld]
  1151 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx8_worker]
  1142 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [fm_eint_wq]
  1139 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [fm_timer_wq]
  1134 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx7_worker]
  1084 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx6_worker]
  1083 system       20   0 2.1G 7.0M 6.8M S  0.0   0.0   0:00.18 vendor.vivo.hardware.biometrics.fingerprint@3.0-service
  1079 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx5_worker]
  1078 system       20   0 2.0G 6.1M 6.1M S  0.0   0.0   0:00.05 vendor.vivo.hardware.biometrics.face@2.0-service
  1076 system       20   0 2.0G 3.5M 3.5M S  0.0   0.0   0:00.02 netdagent
  1068 system       20   0 2.0G 6.7M 6.3M S  0.0   0.0   0:00.07 gatekeeperd /data/misc/gatekeeper
  1063 credstore    20   0 2.0G 7.2M 6.7M S  0.0   0.0   0:00.05 credstore /data/misc/credstore
  1059 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx4_worker]
  1054 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx3_worker]
  1053 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx2_worker]
  1051 mediacodec   20   0 2.2G  15M  15M S  0.0   0.2   0:00.44 media.swcodec oid.media.swcodec/bin/mediaswcodec
  1050 wifi         20   0 2.0G 2.4M 2.4M S  0.0   0.0   0:00.09 wlan_assistant
  1047 media        20   0  22M 5.3M 4.1M S  0.0   0.0   0:01.69 vpud -f
  1044 system       20   0 2.0G 4.4M 4.4M S  0.0   0.0   0:00.06 vendor.vivo.hardware.tam@1.0-service
  1043 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx1_worker]
  1042 system       20   0 2.0G 6.1M 5.3M S  0.0   0.0   0:00.23 vendor.vivo.hardware.sectee@1.0-service
  1041 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx0_worker]
  1040 system       20   0 2.1G  10M 9.4M S  0.0   0.1   0:36.91 vendor.mediatek.hardware.pq@2.2-service
  1039 system       20   0 2.0G 4.3M 4.3M S  0.0   0.0   0:00.01 vendor.mediatek.hardware.mmagent@1.0-service
  1036 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [dpmaif_txq3_don]
  1035 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [dpmaif_txq2_don]
  1034 gps          20   0  70M 4.3M 3.7M S  0.0   0.0   0:01.07 mtk_agpsd
  1032 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [dpmaif_txq1_don]
  1031 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [dpmaif_txq0_don]
  1030 system       20   0 8.8M 484K 464K S  0.0   0.0   0:01.04 thermalloadalgod
  1024 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [md1_tx3_worker]
  1023 system       20   0 2.0G 2.7M 2.7M S  0.0   0.0   0:01.27 thermal
  1017 system       20   0 2.0G 2.2M 2.2M S  0.0   0.0   0:00.10 getgameserver
  1015 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [md1_tx2_worker]
  1008 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [md1_tx1_worker]
  1002 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [md1_tx0_worker]
  1000 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [dpmaif_rx_push]
   999 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ccci_dpmaif_rx0]
   996 cameraserver 20   0 2.7G  41M  40M S  0.0   0.5   0:17.84 camerahalserver ASAN_OPTIONS=abort_on_error=1
   988 system       20   0 2.0G 5.6M 5.1M S  0.0   0.0   1:05.02 android.hardware.sensors@2.0-service-mediatek
   982 mediacodec   20   0  62M  13M  10M S  0.0   0.1   0:03.65 media.codec hw/android.hardware.media.omx@1.0-service
   979 wifi         20   0 2.0G 6.4M 5.9M S  0.0   0.0   0:07.03 wificond
   977 system       20   0 2.0G 4.9M 4.5M S  0.0   0.0   0:00.01 vivoperfservice
   972 cameraserver 20   0  27M 6.5M 5.6M S  0.0   0.0   0:00.04 vivocameraserver
