2023-04-17 23-20-35 top info:
Tasks: 781 total,   1 running, 780 sleeping,   0 stopped,   0 zombie
  Mem:  7703324K total,  7114480K used,   588844K free,   5079040 buffers
 Swap:  4194304K total,         0 used,  4194304K free,  2623824K cached
800%cpu 130%user   0%nice 212%sys 458%idle   0%iow   0%irq   0%sirq   0%host
   PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
  4986 u0_a174      20   0 6.0G 170M 134M S  0.0   2.2   0:35.54 com.google.android.gms
  4829 u0_a174      20   0 5.2G  89M  77M S  0.0   1.1   0:04.98 com.google.process.gservices
  4715 u0_a72       20   0 5.3G 104M  86M S  0.0   1.3   0:07.33 com.amap.android.location
  4634 system       20   0 5.7G 105M  90M S  0.0   1.3   0:05.75 com.vivo.connbase
  4604 nfc          20   0 5.6G 162M 142M S  0.0   2.1   0:03.48 com.android.nfc
  4564 u0_a0        20   0 5.4G 115M  99M S  0.0   1.5   0:10.18 com.android.providers.media.module
  4409 system       20   0 2.0G 3.1M 2.5M S  0.0   0.0   0:00.11 batterywarning
  4403 root         20   0 2.0G 4.5M 3.7M S  0.0   0.0   0:00.12 atcid_vendor -socket
  4255 u0_a100      20   0 5.6G 106M  95M S  0.0   1.4   0:02.32 com.vivo.magazine
  4216 radio        20   0 5.1G  69M  65M S  0.0   0.9   0:00.12 com.volte.config
  4138 radio        20   0 5.4G  88M  81M S  0.0   1.1   0:01.01 com.mediatek.ims
  4113 u0_a174      20   0 5.7G 163M 126M S  0.0   2.1   0:20.40 com.google.android.gms.persistent
  4051 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  4029 u0_a141      20   0 5.6G  96M  86M S  0.0   1.2   0:04.15 com.bbk.updater
  3701 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  3592 u0_a141      20   0 5.1G  90M  84M S  0.0   1.2   0:00.70 com.bbk.updater:remote
  3485 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  3413 system       20   0 5.1G  80M  71M S  0.0   1.0   0:00.19 com.vivo.doubleinstance
  3193 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [workqueue_task]
  3192 root         20   0    0    0    0 S  0.0   0.0   0:00.13 [bt_tx_ps]
  3189 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [dpidle_task]
  3102 system       20   0 5.3G 101M  87M S  0.0   1.3   0:01.22 com.vivo.gamecube:daemon
  3059 u0_a187      20   0 5.1G 116M 107M S  0.0   1.5   0:02.07 android.ext.services
  2984 system       20   0 5.1G  77M  70M S  0.0   1.0   0:00.22 com.vivo.smartunlock
  2952 system       20   0 5.8G  98M  84M S  0.0   1.3   0:30.80 com.vivo.sps:rms
  2878 radio        20   0 6.3G 136M 108M S  0.0   1.8   0:42.00 com.android.phone
  2835 system       20   0 5.4G 101M  84M S  0.0   1.3   0:03.54 com.vivo.gamewatch
  2800 system       20   0 6.0G 153M 135M S  0.0   2.0   0:08.77 com.vivo.upslide
  2772 secure_element 20 0 5.0G  67M  63M S  0.0   0.8   0:00.10 com.android.se
